habitat,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,class
u,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,p
g,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,e
m,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,e
u,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,p
g,x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,e
g,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,e
m,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,e
m,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,p
m,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,e
g,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,e
m,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,e
g,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,e
u,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,p
g,x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,e
u,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,e
g,f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,e
g,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,p
u,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,p
u,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,p
m,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
g,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,p
m,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,e
m,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,e
